Date','first_name','last_name','Address','ZIP code','SSN','Medicaid Number
6/18/2014','Irene','Ford','8 Steensland Trail','46760','171-23-1297','146310898
5/9/2015','Sara','Davis','242 Loomis Hill','46761','195-26-8564','879375856
4/6/2015','Martha','Burke','23047 Pierstorff Terrace','46763','529-18-6096','244662516
6/3/2014','Janet','Reyes','7 Hoard Crossing','46764','991-51-0839','420218935
12/26/2014','Christina','Anderson','0 Fair Oaks Crossing','46767','950-30-4814','739662369
12/26/2014','Jean','Rose','167 6th Drive','46776','269-71-7751','470913107
6/14/2014','Helen','Kelly','05 Magdeline Way','46779','723-81-1089','233462881
5/21/2014','Maria','Harper','519 Nelson Junction','46784','187-95-6624','968308290
2/20/2015','Elizabeth','Kelly','25927 Melby Alley','46793','587-36-0138','690326644
10/27/2014','Lillian','Moore','4 Del Mar Center','46794','476-14-1662','209752251
5/1/2015','Anne','Jackson','15801 Namekagon Park','46795','971-01-0841','79477654
4/13/2015','Heather','Watkins','76 Longview Hill','46705','943-58-2468','324692284
2/11/2015','Kathryn','Garcia','643 North Lane','46706','921-25-9648','171253837
9/13/2014','Kimberly','Foster','7 Beilfuss Plaza','46721','781-76-4474','241525601
3/3/2015','Robin','Phillips','61 Weeping Birch Terrace','46733','614-81-5446','110433753
9/29/2014','Kathy','Thompson','09539 Mandrake Junction','46741','754-90-3934','485978760
9/15/2014','Donna','Garcia','0669 Weeping Birch Hill','46742','663-90-0213','692299103
5/30/2014','Norma','Washington','8 Clyde Gallagher Pass','46743','961-36-0207','381973657
6/5/2014','Gloria','Holmes','4 Anniversary Road','46745','670-46-1577','417039149
7/3/2014','Deborah','Lee','7190 Meadow Ridge Center','46765','116-30-2854','177274759
6/25/2014','Elizabeth','Jacobs','457 Twin Pines Trail','46773','774-96-5161','938327648
1/21/2015','Sarah','Young','45044 Victoria Point','46774','358-21-2314','960324877
6/8/2014','Angela','Mcdonald','463 Amoth Trail','46777','788-78-1236','77389311
9/18/2014','Martha','Frazier','46 Shoshone Court','46785','655-25-8150','389666445
9/22/2014','Laura','White','59918 Fordem Pass','46788','232-62-6453','583208239
12/27/2014','Robin','King','7779 Arizona Park','46793','719-27-9331','313460488
8/1/2014','Janet','Daniels','25992 Vera Way','46797','258-36-3389','458412890
3/10/2015','Stephanie','Lane','931 Pankratz Road','46803','518-43-2590','912969681
6/30/2014','Katherine','Franklin','842 Hallows Trail','46805','655-46-4576','718139877
7/3/2014','Sharon','Lee','95 Burrows Lane','46806','506-65-5672','660353918
4/20/2015','Barbara','Stevens','64 Meadow Valley Drive','46815','129-51-8236','653247555
5/7/2015','Martha','Hunt','44423 6th Parkway','46816','300-66-4359','273092264
1/28/2015','Janet','Griffin','1776 Milwaukee Parkway','46819','649-17-3470','667567668
9/15/2014','Kimberly','Murray','4853 Autumn Leaf Park','46825','153-75-4329','63512023
11/30/2014','Deborah','Long','852 South Drive','46835','650-70-1237','410924110
9/13/2014','Christina','Marshall','389 Dwight Circle','46845','546-52-2230','798789186
12/2/2014','Debra','Greene','99 Sugar Alley','46748','565-92-5567','864042387
6/25/2014','Denise','Brown','90518 Pleasure Avenue','46765','550-74-5664','371378789
2/13/2015','Paula','Mills','15061 Sunbrook Alley','46802','320-53-8265','7299468
5/4/2015','Jacqueline','Welch','25712 Division Way','46803','755-92-6975','928512255
3/19/2015','Denise','Ruiz','79851 Reinke Parkway','46805','460-25-0112','499052596
5/29/2014','Sarah','Miller','5052 Reindahl Street','46806','792-23-3515','64038062
10/27/2014','Jane','Robinson','86038 Dayton Avenue','46815','572-19-0028','139828045
4/18/2015','Janet','Cook','08 Hoepker Street','46816','188-32-0799','945693473
2/23/2015','Marie','Hudson','1408 Mayer Plaza','46818','555-45-0526','451973983
7/21/2014','Anne','Nichols','0 Ronald Regan Trail','46819','960-36-9580','206887746
2/22/2015','Anna','Diaz','46132 Morrow Road','46825','380-47-5284','798548899
6/18/2014','Margaret','Lane','5010 Coleman Alley','46835','539-13-8739','141392732
3/16/2015','Joan','Powell','7 Ohio Street','46845','423-02-5757','433815439
9/25/2014','Gloria','Ray','563 Corben Alley','46723','816-90-2456','200258009
6/30/2014','Melissa','Cook','7788 Gale Parkway','46725','791-52-7312','55277399
6/2/2014','Teresa','Coleman','5535 Carpenter Crossing','46748','682-22-5071','314248508
8/5/2014','Julie','Williams','53661 Sunfield Crossing','46777','115-73-4788','444577397
8/25/2014','Margaret','Kennedy','690 Reinke Lane','46783','241-58-3423','290472041
5/9/2015','Norma','Hicks','7735 Jackson Lane','46798','912-41-9729','322316506
5/31/2014','Jane','Harper','71760 5th Street','46802','337-46-6824','651253067
7/31/2014','Sarah','Fuller','18 Marquette Road','46803','119-80-4506','775348061
6/6/2014','Joan','Ross','244 Di Loreto Street','46804','730-35-1526','45126401
3/15/2015','Lisa','Evans','8 Talisman Junction','46805','151-06-8691','12360467
2/20/2015','Kathryn','Welch','81885 Roxbury Park','46806','404-82-3252','464572635
11/18/2014','Frances','Diaz','707 Village Court','46807','448-59-8727','74444181
10/19/2014','Kelly','Hayes','4018 Shasta Street','46808','790-35-7167','96813402
1/14/2015','Donna','Bell','9 Burning Wood Way','46809','239-01-6084','41270012
9/26/2014','Annie','Simmons','7 Spenser Street','46814','550-96-1916','227687253
10/8/2014','Catherine','Harrison','7 Fairview Center','46816','175-90-7387','121752033
6/3/2014','Mary','Ramos','42 Eastwood Parkway','46818','806-94-6222','7795151
6/9/2014','Kathleen','James','34342 Miller Lane','46819','614-48-7375','146845104
8/17/2014','Catherine','Spencer','75 Fallview Terrace','46825','402-19-9925','682160332
7/25/2014','Lisa','Spencer','3 Hauk Center','46562','340-04-1077','710694324
12/11/2014','Jacqueline','George','4 Service Alley','46702','997-49-3550','957210891
7/8/2014','Heather','Baker','43 Corben Drive','46723','425-96-2539','306179357
2/25/2015','Ashley','Scott','465 Pepper Wood Parkway','46725','909-76-7157','230627430
5/25/2014','Tammy','Gomez','4 Garrison Plaza','46750','617-54-7505','160217756
3/6/2015','Alice','Dunn','55253 Tennyson Terrace','46764','231-47-5483','811161927
6/18/2014','Kathy','Bell','8342 Waubesa Pass','46783','505-95-7176','581076917
7/7/2014','Virginia','Murphy','0872 Dryden Hill','46787','445-10-7851','70874463
10/7/2014','Betty','Gray','8246 Magdeline Hill','46792','382-50-4915','362214185
7/5/2014','Ann','Stone','39 Red Cloud Alley','46911','378-72-3866','120719042
11/19/2014','Amy','Carroll','8 Dahle Avenue','46919','393-48-4821','343675307
9/2/2014','Janice','Harper','58043 Stuart Avenue','46926','167-93-9583','723428073
8/19/2014','Karen','Green','704 Dorton Lane','46940','894-83-0767','208569654
6/16/2014','Nancy','Moreno','5 Westerfield Hill','46941','782-81-9289','100286521
2/15/2015','Jessica','Dixon','71196 Birchwood Center','46952','986-21-3797','786234132
8/22/2014','Janice','Hicks','054 Hazelcrest Plaza','46953','554-79-0410','131899680
1/2/2015','Lisa','Bennett','8 Farmco Crossing','46962','368-72-4006','668268305
4/4/2015','Denise','Reynolds','65382 Blue Bill Park Road','46970','253-28-4523','160142407
11/15/2014','Kimberly','Miller','3824 Nelson Road','46974','529-50-0656','44832790
7/19/2014','Laura','Gordon','6564 Summerview Park','46982','776-08-2670','12537303
1/23/2015','Sarah','Grant','07 Esch Trail','46986','528-98-8022','223338203
1/28/2015','Sandra','Green','166 Dwight Avenue','46990','792-34-2219','722671999
1/27/2015','Diane','Cunningham','843 Clove Circle','46991','708-13-5852','340927012
5/21/2014','Ruby','Stephens','958 Springview Place','46992','217-33-8523','490838853
10/8/2014','Ashley','Hall','27341 Hansons Center','46501','548-62-5838','376075261
9/1/2014','Linda','Miller','4693 Delaware Avenue','46504','805-05-8174','381385648
10/4/2014','Amanda','Fox','3 Fremont Avenue','46508','111-70-8640','515470363
1/24/2015','Anne','Hill','6318 Barnett Way','46510','974-20-7177','382232777
12/19/2014','Rebecca','Romero','6 Declaration Lane','46511','445-07-7371','85066212
10/21/2014','Susan','Hamilton','531 Sunbrook Road','46524','497-51-2573','564388781
12/11/2014','Alice','Powell','976 Nancy Court','46539','891-61-6259','265931079
1/8/2015','Carol','Bowman','442 Kim Court','46562','188-01-8802','839763760
1/1/2015','Susan','Palmer','910 Walton Place','46563','694-22-7599','973125158
10/2/2014','Catherine','Boyd','797 Huxley Junction','46570','543-80-6832','257716680
